Year;avgTemperature;pollutionIndicator
1990;9,425;316,2
1991;8,68333333333333;301,9
1992;9,5;260,4
1993;9,3;225
1994;10,5666666666667;197,8
1995;9,11666666666667;174
1996;8,7;153,3
1997;9,63333333333333;133,6
1998;9,49166666666667;126,6
1999;9,275;110
2000;10,175;100
2001;9,40833333333333;94,2
2002;10,3083333333333;92,6
2003;9,96666666666667;89,3
2004;9,29166666666667;84,2
2005;8,9;79,1
2006;9,49166666666667;67,5
2007;10,2333333333333;62,1
2008;9,94166666666667;55,1
2009;9,94166666666667;50,3
2010;9,26666666666667;46,8
2011;10,15;43,7
2012;9,74166666666667;40,9
2013;9,80833333333333;38,4
2014;11,0833333333333;35,9
2015;10,6416666666667;34,9
2016;10,4416666666667;32,6
